AnonId	Query	QueryTime	ItemRank	ClickURL
2624	charmedbracelate	2006-03-01 00:43:59		
2624	charmebracelet	2006-03-01 00:44:13	5	http://charm.netfirms.com
14079	home entertainment stands	2006-03-01 00:18:33	1	http://www.homeaudiosuperstore.com
14079	audio stands	2006-03-01 00:33:49	1	http://www.bello.com
14079	audio stands	2006-03-01 00:33:49	1	http://www.bello.com
14079	audio stands	2006-03-01 00:33:49	5	http://stereophile.com
14079	audio stands	2006-03-01 00:50:18	12	http://www.wildwestelectronics.net
14079	audio stands	2006-03-01 00:50:18	14	http://www.jr.com
14079	audio stands	2006-03-01 00:50:18	20	http://www.comcore21.com
18756	wwww.myspace.com	2006-03-01 00:09:02		
18756	wwww.myspace.com	2006-03-01 00:09:05		
18756	www.myspace.com	2006-03-01 00:09:09		
18756	www.myspace.com	2006-03-01 00:09:12	1	http://www.myspace.com
